No.,2-isogeny-walk,3-isogeny-walk
0,1670877668,1724058176
1,1671301082,1724214792
2,1671399344,1724359996
3,1671428040,1724427072
4,1671469286,1724487826
5,1671526574,1724560696
6,1671576198,1724582204
7,1671586418,1724626306
8,1671754664,1724737496
9,1671759938,1724755744
10,1671760644,1724764780
11,1671769568,1724943990
12,1671769672,1725052386
13,1671817600,1725056216
14,1671823012,1725116976
15,1671828412,1725124390
16,1671866116,1725125702
17,1671940576,1725170412
18,1671946324,1725194672
19,1672011310,1725197264
20,1672012844,1725199488
21,1672021250,1725221388
22,1672043874,1725303724
23,1672058742,1725305110
24,1672123826,1725342298
25,1672166602,1725342682
26,1672212352,1725391654
27,1672214148,1725424484
28,1672221030,1725426050
29,1672236124,1725428094
30,1672237628,1725437368
31,1672254252,1725465826
32,1672254922,1725466660
33,1672293596,1725477630
34,1672310902,1725481532
35,1672321414,1725495418
36,1672328898,1725502366
37,1672337322,1725508738
38,1672351776,1725530774
39,1672366354,1725549846
40,1672386556,1725560196
41,1672393716,1725596534
42,1672416616,1725622196
43,1672432592,1725623916
44,1672438258,1725637508
45,1672440434,1725659170
46,1672457566,1725665686
47,1672458124,1725666878
48,1672481226,1725687120
49,1672487804,1725697728
50,1672497918,1725703386
51,1672498886,1725708376
52,1672506592,1725714332
53,1672507820,1725715404
54,1672513170,1725722768
55,1672519360,1725734836
56,1672531168,1725738970
57,1672533812,1725742608
58,1672556034,1725746756
59,1672567170,1725747562
60,1672571178,1725753050
61,1672586986,1725753728
62,1672588302,1725757726
63,1672594486,1725796290
64,1672605354,1725804504
65,1672630194,1725813208
66,1672632104,1725835468
67,1672663750,1725838044
68,1672664164,1725849866
69,1672673936,1725853356
70,1672674880,1725863136
71,1672684148,1725866480
72,1672685256,1725877888
73,1672685672,1725884870
74,1672688618,1725889028
75,1672692124,1725892312
76,1672699168,1725904804
77,1672732356,1725918040
78,1672741464,1725918724
79,1672758596,1725933364
80,1672762222,1725947246
81,1672765596,1725964474
82,1672776480,1725989730
83,1672787038,1725996362
84,1672788792,1725997840
85,1672789716,1726001470
86,1672790408,1726005080
87,1672800616,1726011490
88,1672810250,1726013842
89,1672820972,1726018638
90,1672823504,1726023478
91,1672823664,1726042844
92,1672835074,1726072436
93,1672836184,1726087044
94,1672869048,1726087368
95,1672870072,1726102676
96,1672878622,1726118236
97,1672888602,1726119898
98,1672891784,1726123932
99,1672892314,1726124542
100,1672898814,1726125190
101,1672909468,1726129110
102,1672917130,1726132706
103,1672922726,1726136344
104,1672928576,1726138726
105,1672929232,1726141190
106,1672947682,1726142106
107,1672951482,1726145220
108,1672958898,1726155756
109,1672966462,1726163684
110,1672966798,1726168176
111,1672974064,1726170516
112,1672985286,1726189600
113,1672995966,1726201538
114,1672996770,1726229270
115,1673021890,1726232470
116,1673025058,1726237734
117,1673026556,1726238732
118,1673029070,1726241150
119,1673038146,1726241724
120,1673039836,1726242796
121,1673040568,1726256716
122,1673041516,1726262254
123,1673042376,1726264800
124,1673046964,1726266138
125,1673051364,1726266704
126,1673056928,1726268834
127,1673060396,1726269180
128,1673062414,1726274764
129,1673071524,1726276368
130,1673074786,1726278920
131,1673078588,1726283590
132,1673082832,1726283758
133,1673091964,1726289828
134,1673108372,1726297364
135,1673110296,1726317952
136,1673115166,1726318884
137,1673116978,1726324242
138,1673118404,1726327610
139,1673121634,1726332164
140,1673140820,1726332430
141,1673142104,1726342326
142,1673145330,1726347838
143,1673159388,1726356480
144,1673177686,1726359304
145,1673178560,1726361008
146,1673180270,1726364222
147,1673187654,1726369056
148,1673193132,1726378804
149,1673198242,1726380736
150,1673203534,1726384978
151,1673206098,1726387158
152,1673223322,1726389704
153,1673223850,1726395148
154,1673224658,1726397938
155,1673227122,1726399674
156,1673239416,1726399994
157,1673240528,1726401162
158,1673241120,1726405966
159,1673256650,1726415234
160,1673262612,1726418038
161,1673263074,1726418746
162,1673275076,1726425320
163,1673282972,1726429796
164,1673283772,1726434012
165,1673285040,1726434940
166,1673295496,1726441888
167,1673305118,1726461878
168,1673315604,1726469338
169,1673319000,1726480536
170,1673326222,1726495546
171,1673329104,1726497390
172,1673332968,1726500456
173,1673335492,1726500656
174,1673342364,1726506528
175,1673343226,1726510910
176,1673344926,1726512406
177,1673357352,1726522674
178,1673360026,1726530134
179,1673360122,1726536430
180,1673362904,1726545540
181,1673366164,1726561490
182,1673366254,1726571046
183,1673367764,1726573870
184,1673369514,1726579158
185,1673372234,1726587000
186,1673382914,1726588776
187,1673385646,1726597012
188,1673388224,1726601774
189,1673389654,1726605110
190,1673392854,1726612484
191,1673399744,1726617268
192,1673404270,1726619748
193,1673406774,1726621360
194,1673408664,1726622276
195,1673412740,1726639644
196,1673413648,1726646898
197,1673416404,1726651202
198,1673428140,1726661496
199,1673430430,1726665576
200,1673434076,1726668828
201,1673442264,1726673506
202,1673445382,1726675166
203,1673446308,1726690498
204,1673461908,1726692724
205,1673467650,1726697808
206,1673470902,1726698042
207,1673483360,1726699290
208,1673486162,1726700700
209,1673487686,1726701938
210,1673491446,1726711682
211,1673491658,1726713828
212,1673494102,1726714846
213,1673495312,1726715122
214,1673508814,1726715148
215,1673513750,1726716028
216,1673517514,1726755298
217,1673522620,1726762150
218,1673529412,1726765230
219,1673548046,1726769924
220,1673563778,1726771066
221,1673569306,1726772044
222,1673570512,1726772498
223,1673572970,1726779048
224,1673581964,1726779480
225,1673583622,1726781478
226,1673600132,1726786884
227,1673603592,1726788292
228,1673609898,1726789828
229,1673611078,1726798152
230,1673623330,1726798256
231,1673639532,1726804940
232,1673640896,1726806746
233,1673641054,1726825668
234,1673647048,1726850240
235,1673655418,1726852850
236,1673661908,1726859006
237,1673664822,1726861914
238,1673666516,1726864430
239,1673666698,1726868488
240,1673673166,1726876526
241,1673677350,1726878744
242,1673677706,1726886992
243,1673679740,1726889256
244,1673679954,1726893388
245,1673684494,1726902580
246,1673685910,1726920928
247,1673687906,1726924012
248,1673688842,1726927060
249,1673702608,1726928060
250,1673703860,1726934068
251,1673704616,1726942182
252,1673709264,1726949668
253,1673710984,1726950434
254,1673716108,1726960830
255,1673717230,1726964076
256,1673726356,1726965580
257,1673733588,1726973468
258,1673737626,1726974728
259,1673744170,1726976066
260,1673761454,1726993966
261,1673769418,1726996334
262,1673777926,1727007996
263,1673779262,1727012046
264,1673786638,1727018690
265,1673791608,1727021812
266,1673799786,1727027906
267,1673800694,1727029942
268,1673812172,1727031942
269,1673822426,1727033050
270,1673827162,1727035176
271,1673841352,1727056122
272,1673843806,1727059106
273,1673844124,1727062352
274,1673854490,1727062960
275,1673856144,1727063522
276,1673858838,1727070466
277,1673859006,1727083012
278,1673864932,1727084750
279,1673865540,1727088024
280,1673866482,1727096132
281,1673867582,1727100440
282,1673877542,1727103418
283,1673878036,1727116362
284,1673879806,1727122980
285,1673882132,1727125714
286,1673885920,1727126014
287,1673887422,1727126250
288,1673891816,1727142022
289,1673903556,1727148598
290,1673915676,1727149698
291,1673918190,1727154208
292,1673921796,1727164830
293,1673921898,1727167330
294,1673932164,1727176606
295,1673939992,1727182140
296,1673943576,1727185802
297,1673949920,1727192016
298,1673951836,1727199188
299,1673953142,1727206714
300,1673955504,1727211512
301,1673958038,1727212692
302,1673965306,1727221240
303,1673979940,1727223830
304,1673982510,1727232504
305,1673991506,1727240724
306,1673991508,1727250136
307,1673999146,1727252122
308,1673999300,1727254000
309,1674007408,1727255288
310,1674012460,1727256614
311,1674012490,1727256760
312,1674021300,1727264990
313,1674024140,1727270278
314,1674025694,1727272428
315,1674025750,1727272540
316,1674025782,1727274900
317,1674029366,1727275458
318,1674037144,1727278256
319,1674040204,1727279642
320,1674042568,1727283232
321,1674042782,1727294036
322,1674048882,1727294820
323,1674062404,1727307594
324,1674062836,1727309072
325,1674068918,1727310308
326,1674069588,1727314504
327,1674071130,1727317066
328,1674071356,1727318418
329,1674071552,1727326478
330,1674072912,1727327100
331,1674081130,1727328392
332,1674096900,1727336028
333,1674103650,1727336450
334,1674117364,1727342288
335,1674120508,1727342912
336,1674126180,1727349800
337,1674139672,1727357284
338,1674142344,1727363178
339,1674156986,1727368620
340,1674161958,1727369332
341,1674162280,1727373528
342,1674162304,1727382864
343,1674174550,1727384796
344,1674177696,1727385962
345,1674179504,1727386042
346,1674184336,1727389808
347,1674185122,1727396038
348,1674190936,1727412566
349,1674194726,1727412898
350,1674197228,1727421728
351,1674199410,1727426520
352,1674199456,1727430956
353,1674205932,1727443826
354,1674208732,1727445484
355,1674210934,1727448740
356,1674216648,1727453240
357,1674219466,1727462820
358,1674229426,1727462890
359,1674234992,1727464492
360,1674235546,1727468104
361,1674241076,1727492758
362,1674262964,1727500756
363,1674265592,1727514808
364,1674275406,1727519330
365,1674279592,1727522338
366,1674280558,1727524822
367,1674280574,1727526500
368,1674291856,1727527982
369,1674297762,1727530336
370,1674306572,1727532486
371,1674310664,1727538396
372,1674317116,1727555434
373,1674320974,1727556664
374,1674327398,1727558570
375,1674328686,1727565176
