No.,2-isogeny-walk,3-isogeny-walk
0,57206483,58675127
1,57217165,58751269
2,57256397,58773282
3,57308308,58831919
4,57321492,58839155
5,57327878,58840010
6,57344104,58842063
7,57349319,58855314
8,57349343,58862306
9,57350635,58864009
10,57354624,58866354
11,57358033,58880694
12,57365896,58882718
13,57368944,58885122
14,57388118,58886126
15,57393810,58892435
16,57394031,58899887
17,57394095,58905753
18,57394562,58914554
19,57397214,58917505
20,57403395,58930849
21,57403940,58932260
22,57404025,58932852
23,57416845,58937757
24,57421261,58943786
25,57424786,58946035
26,57425834,58946954
27,57426191,58948107
28,57427185,58948908
29,57427904,58954630
30,57428126,58974903
31,57430482,58975321
32,57434602,58975680
33,57434720,58976316
34,57435595,58978322
35,57436402,58981100
36,57438868,58986595
37,57439129,58987820
38,57439210,58988254
39,57440336,58998047
40,57447469,59003793
41,57448035,59006751
42,57449479,59007449
43,57450133,59009160
44,57450458,59010057
45,57454163,59010792
46,57458703,59023385
47,57459080,59025804
48,57460025,59027911
49,57461725,59028350
50,57470072,59029395
51,57471716,59031127
52,57471807,59035350
53,57472738,59039455
54,57475108,59043538
55,57475294,59044455
56,57477045,59045676
57,57477902,59048203
58,57480307,59049258
59,57481877,59050399
60,57482825,59052051
61,57482980,59056084
62,57483425,59056771
63,57485106,59057302
64,57485771,59059317
65,57486592,59060548
66,57488846,59064429
67,57489204,59066855
68,57491059,59069017
69,57493400,59069155
70,57494457,59071119
71,57497146,59072349
72,57499521,59074582
73,57502027,59076932
74,57502932,59080121
75,57504458,59084032
76,57510238,59085542
77,57511330,59094218
78,57512209,59095066
79,57512611,59097577
80,57512766,59097774
81,57515221,59099588
82,57515879,59100319
83,57517017,59100664
84,57522840,59100821
85,57523124,59105589
86,57523274,59106246
87,57524235,59107640
88,57524722,59107880
89,57525446,59107938
90,57526302,59108407
91,57527894,59112297
92,57528854,59113811
93,57529115,59116143
94,57530541,59116159
95,57531579,59117609
96,57532219,59120947
97,57538205,59121774
98,57538917,59122537
99,57539069,59124062
100,57539142,59124626
101,57541724,59126990
102,57543054,59127523
103,57543399,59130226
104,57543820,59130416
105,57544579,59130580
106,57546018,59132762
107,57546888,59133320
108,57548997,59134138
109,57549789,59135695
110,57551171,59137897
111,57553084,59140797
112,57553572,59143917
113,57553830,59145410
114,57554528,59148022
115,57557183,59148219
116,57557816,59148248
117,57559902,59148843
118,57561211,59149016
119,57563131,59149516
120,57563140,59149806
121,57567472,59151843
122,57568395,59153937
123,57569075,59154063
124,57570757,59154294
125,57571884,59154814
126,57572796,59155145
127,57575973,59156246
128,57576376,59160032
129,57577138,59160595
130,57578618,59162313
131,57580874,59162702
132,57582138,59163466
133,57582345,59163726
134,57583323,59164074
135,57583507,59164165
136,57585158,59164815
137,57586122,59166018
138,57586315,59166081
139,57587318,59167124
140,57592047,59167571
141,57592324,59167629
142,57594515,59168148
143,57595868,59168435
144,57597489,59169730
145,57601472,59172018
146,57604096,59173614
147,57604260,59174828
148,57605102,59175630
149,57605503,59176535
150,57607021,59176606
151,57607878,59177107
152,57608702,59180356
153,57609216,59182564
154,57609311,59184027
155,57609503,59184811
156,57612852,59188267
157,57614031,59188611
158,57614333,59189482
159,57615400,59189817
160,57616178,59193964
161,57616416,59196977
162,57618464,59198939
163,57618994,59201678
164,57619548,59201759
165,57621109,59202202
166,57621370,59202669
167,57621460,59203536
168,57623230,59203664
169,57623251,59204054
170,57624118,59204197
171,57624490,59204553
172,57624751,59205274
173,57625393,59205695
174,57625926,59205915
175,57626042,59206254
176,57626063,59209056
177,57626075,59210170
178,57626165,59214135
179,57626307,59214895
180,57626429,59215594
181,57626992,59218607
182,57630896,59221034
183,57631160,59221265
184,57631277,59222896
185,57631293,59223169
186,57631371,59223215
187,57631837,59227095
188,57632082,59228219
189,57632454,59228440
190,57633435,59228587
191,57636602,59229205
192,57637977,59229238
193,57638419,59229631
194,57639129,59230341
195,57639215,59230884
196,57640488,59231499
197,57641405,59231967
198,57643131,59234273
199,57643557,59234778
200,57644240,59237614
201,57644352,59237941
202,57644612,59238657
203,57646442,59240040
204,57647239,59241213
205,57647890,59241528
206,57649156,59241777
207,57649470,59242625
208,57650516,59243666
209,57651481,59243671
210,57652529,59246335
211,57653292,59246348
212,57653312,59246675
213,57654125,59246883
214,57657173,59247358
215,57657445,59249240
216,57659496,59250595
217,57660075,59250908
218,57662461,59251385
219,57663628,59254034
220,57664242,59254104
221,57664264,59254240
222,57665484,59254742
223,57666782,59258349
224,57667127,59261003
225,57667299,59261200
226,57667877,59261507
227,57670022,59262404
228,57670043,59262643
229,57670817,59263770
230,57674316,59264886
231,57676063,59265302
232,57676434,59266528
233,57677232,59268826
234,57677928,59271089
235,57679268,59272786
236,57679307,59274046
237,57679959,59274379
238,57680263,59275836
239,57682834,59277908
240,57683188,59278700
241,57684034,59281470
242,57687511,59283417
243,57687908,59283955
244,57691522,59287820
245,57693240,59290687
246,57693401,59291121
247,57693434,59291615
248,57693722,59291694
249,57693859,59291765
250,57693934,59292247
251,57694790,59293250
252,57696993,59293284
253,57697089,59293462
254,57698468,59297094
255,57699480,59297492
256,57699510,59299710
257,57701749,59299894
258,57701752,59300203
259,57703202,59300515
260,57703430,59300899
261,57703512,59301242
262,57705056,59302279
263,57705099,59302713
264,57710068,59304762
265,57710384,59306255
266,57714285,59307110
267,57715528,59308209
268,57715601,59308293
269,57715797,59308470
270,57718685,59308594
271,57718782,59310959
272,57720219,59310973
273,57721838,59311319
274,57723715,59311674
275,57723772,59311829
276,57724074,59312920
277,57724149,59317054
278,57725007,59318519
279,57725392,59319258
280,57725891,59319880
281,57725995,59321372
282,57728278,59323261
283,57728603,59328165
284,57728651,59331185
285,57729076,59331196
286,57729121,59338160
287,57731752,59342250
288,57733154,59342512
289,57733939,59343187
290,57734415,59344110
291,57734686,59344143
292,57734926,59348384
293,57735716,59349605
294,57736192,59351197
295,57736857,59352159
296,57738294,59352615
297,57739380,59353410
298,57740112,59355578
299,57742563,59356517
300,57745206,59356976
301,57745512,59358776
302,57745920,59359710
303,57746516,59360070
304,57746960,59360147
305,57749665,59362057
306,57749895,59364226
307,57750333,59364308
308,57752321,59365312
309,57752527,59367132
310,57753194,59368093
311,57753887,59368273
312,57755838,59368280
313,57756235,59368676
314,57756704,59368946
315,57757520,59370930
316,57758259,59372862
317,57758886,59379034
318,57760893,59379243
319,57763357,59380475
320,57764675,59382098
321,57764919,59383111
322,57765414,59383598
323,57765548,59385291
324,57766445,59386531
325,57766750,59388435
326,57768174,59389403
327,57768434,59390394
328,57769384,59395236
329,57769993,59395316
330,57770081,59395960
331,57770164,59398867
332,57770236,59399618
333,57770702,59399788
334,57771670,59400343
335,57772972,59400372
336,57773620,59401231
337,57774515,59401558
338,57775507,59403868
339,57775580,59404169
340,57775594,59404181
341,57777119,59404665
342,57777121,59404735
343,57777137,59405348
344,57778547,59405549
345,57778910,59405824
346,57779522,59407348
347,57783230,59408253
348,57784254,59409065
349,57784966,59410450
350,57787568,59411410
351,57787877,59412969
352,57788546,59413141
353,57790023,59413275
354,57791130,59413643
355,57792217,59419287
356,57793094,59420716
357,57796794,59421518
358,57797193,59422345
359,57797200,59423338
360,57797303,59423872
361,57798571,59427709
362,57798673,59428150
363,57799620,59431043
364,57800477,59433937
365,57800671,59434292
366,57800822,59434778
367,57801008,59436706
368,57801121,59442193
369,57801388,59444479
370,57803130,59451371
371,57803214,59452177
372,57804220,59453176
373,57806038,59454374
374,57808110,59454852
375,57809299,59457255
376,57811629,59460421
377,57812946,59460947
378,57813262,59461004
379,57816234,59463574
380,57817033,59464410
381,57820353,59466712
382,57820602,59467320
383,57820998,59467569
384,57821061,59468024
385,57821821,59469441
386,57822295,59471448
387,57823312,59474109
388,57823546,59475150
389,57826661,59478071
390,57826855,59478322
391,57827726,59483802
392,57828714,59485116
393,57829214,59485953
394,57831056,59486760
395,57832959,59489167
396,57832986,59490482
397,57836115,59493173
398,57836618,59493231
399,57838575,59494609
400,57839484,59494826
401,57843122,59495860
402,57847227,59498596
403,57847422,59500261
404,57847620,59500399
405,57848441,59501479
406,57850573,59504066
407,57851226,59508679
408,57853096,59511595
409,57854000,59513241
410,57854008,59513305
411,57855168,59515743
412,57856137,59516248
413,57857414,59516620
414,57860885,59520382
415,57860920,59521551
416,57864233,59529320
417,57864814,59530218
418,57866533,59534927
419,57867357,59539214
420,57868758,59547075
421,57868921,59547313
422,57869209,59548579
423,57872766,59549797
424,57874606,59557172
425,57878298,59558151
426,57885386,59559094
427,57886812,59559340
428,57887296,59560086
429,57888817,59560850
430,57889357,59562456
431,57889811,59562786
432,57894835,59563217
433,57897990,59567961
434,57898930,59569755
435,57899056,59574374
436,57905490,59574637
437,57906845,59575003
438,57906951,59579476
439,57907925,59582128
440,57914096,59583972
441,57916821,59584094
442,57918401,59587947
443,57920411,59591122
444,57927585,59591583
445,57932199,59594920
446,57932339,59595145
447,57933954,59596305
448,57935299,59596386
449,57935891,59597069
450,57938302,59599395
451,57941816,59607205
452,57946706,59611958
453,57947441,59613283
454,57947578,59616199
455,57949137,59616502
456,57949150,59618746
457,57949725,59620388
458,57950256,59621285
459,57951669,59627370
460,57957505,59629142
461,57958338,59638130
462,57958668,59638131
463,57960717,59640559
464,57976424,59642116
465,57977413,59644229
466,57977820,59646991
467,57978070,59650247
468,57980220,59655628
469,57983608,59662690
470,57985380,59664305
471,57989425,59677211
472,57991678,59679216
473,57992217,59684415
474,57993857,59687749
475,57994677,59692444
476,58001022,59692826
477,58007414,59702620
478,58012644,59702751
479,58015232,59716559
480,58025854,59719895
481,58026183,59751474
482,58027287,59762493
483,58035454,59762833
484,58040531,59767024
485,58044218,59772930
486,58047765,59780306
487,58052842,59787173
488,58054948,59791842
489,58062070,59797785
490,58068052,59814526
491,58072286,59815875
492,58075698,59833881
493,58087475,59837613
494,58087631,59843981
495,58093885,59845629
496,58099287,59862101
497,58108811,59862783
498,58151213,59901394
499,58313735,60144729
