No.,2-isogeny-walk,3-isogeny-walk
0,86577023,44236731
1,86818379,44437217
2,86891977,44442588
3,86920388,44448310
4,86960178,44494924
5,86966405,44513844
6,86979341,44519019
7,86993331,44524447
8,87034565,44542676
9,87065438,44553101
10,87092365,44553899
11,87098770,44564748
12,87105099,44568512
13,87125914,44573940
14,87129683,44584688
15,87135289,44615785
16,87156607,44619118
17,87158010,44624864
18,87177790,44640530
19,87237770,44647016
20,87238736,44654454
21,87259543,44658835
22,87263489,44663324
23,87270137,44667413
24,87292317,44668479
25,87292401,44673849
26,87300961,44675538
27,87307268,44679249
28,87308866,44682594
29,87310265,44689267
30,87329627,44691439
31,87336608,44695833
32,87336944,44720463
33,87343979,44726765
34,87345254,44728555
35,87351264,44729257
36,87355710,44732176
37,87367251,44734594
38,87369488,44739559
39,87376154,44744132
40,87378649,44753706
41,87391905,44755671
42,87422912,44769510
43,87432522,44774700
44,87433821,44775507
45,87449395,44778095
46,87461631,44778994
47,87462942,44781238
48,87471555,44783418
49,87477657,44784215
50,87482561,44805686
51,87492709,44806341
52,87508833,44816300
53,87522073,44823109
54,87522106,44826181
55,87533197,44827362
56,87543789,44829184
57,87562743,44832193
58,87583040,44839788
59,87586339,44845382
60,87603734,44847195
61,87605163,44852480
62,87608984,44855980
63,87616000,44856856
64,87620747,44862308
65,87621518,44868185
66,87628646,44873302
67,87635188,44876273
68,87636234,44876718
69,87652307,44881314
70,87654536,44888589
71,87658855,44899023
72,87662171,44928466
73,87675102,44930163
74,87694261,44934079
75,87709483,44936012
76,87714495,44937971
77,87719955,44941264
78,87732578,44950255
79,87770447,44950260
80,87787210,44951058
81,87793181,44982728
82,87873931,44994368
83,87911930,45006844
84,87932808,45017894
85,87966746,45018938
86,88000349,45029629
87,88033159,45034983
88,88051822,45064904
89,88052589,45077661
90,88072107,45093616
91,88081672,45099247
92,88102991,45100156
93,88133552,45123941
94,88157359,45154133
95,88201788,45174355
96,88375539,45209104
97,88470767,45212658
98,88616433,45272283
99,88899573,45283887
